date	close
24-Apr-07	93.24
25-Apr-07	95.35
26-Apr-07	98.84
27-Apr-07	99.92
30-Apr-07	99.80
1-May-07	99.47
2-May-07	100.39
3-May-07	100.40
4-May-07	100.81
7-May-07	103.92
8-May-07	105.06
9-May-07	106.88
10-May-07	107.34
11-May-07	108.74
14-May-07	109.36
15-May-07	107.52
16-May-07	107.34
17-May-07	109.44
18-May-07	110.02
21-May-07	111.98
22-May-07	113.54
23-May-07	112.89
24-May-07	110.69
25-May-07	113.62
29-May-07	114.35
30-May-07	118.77
31-May-07	121.19
1-Jun-07	118.40
4-Jun-07	121.33
5-Jun-07	122.67
6-Jun-07	123.64
7-Jun-07	124.07
8-Jun-07	124.49
11-Jun-07	120.19
12-Jun-07	120.38
13-Jun-07	117.50
14-Jun-07	118.75
15-Jun-07	120.50
18-Jun-07	125.09
19-Jun-07	123.66
20-Jun-07	121.55
21-Jun-07	123.90
22-Jun-07	123.00
25-Jun-07	122.34
26-Jun-07	119.65
27-Jun-07	121.89
28-Jun-07	120.56
29-Jun-07	122.04
2-Jul-07	121.26
3-Jul-07	127.17
5-Jul-07	132.75
6-Jul-07	132.30
9-Jul-07	130.33
10-Jul-07	132.35
11-Jul-07	132.39
12-Jul-07	134.07
13-Jul-07	137.73
16-Jul-07	138.10
17-Jul-07	138.91
18-Jul-07	138.12
19-Jul-07	140.00
20-Jul-07	143.75
23-Jul-07	143.70
24-Jul-07	134.89
25-Jul-07	137.26
26-Jul-07	146.00
27-Jul-07	143.85
30-Jul-07	141.43
31-Jul-07	131.76
1-Aug-07	135.00
2-Aug-07	136.49
3-Aug-07	131.85
6-Aug-07	135.25
7-Aug-07	135.03
8-Aug-07	134.01
9-Aug-07	126.39
10-Aug-07	125.00
13-Aug-07	127.79
14-Aug-07	124.03
15-Aug-07	119.90
16-Aug-07	117.05
17-Aug-07	122.06
20-Aug-07	122.22
21-Aug-07	127.57
22-Aug-07	132.51
23-Aug-07	131.07
24-Aug-07	135.30
